version,circuit,trojan,old_status,new_status,transition,old_runtime_ms,new_runtime_ms,old_over_new_runtime,old_area_delta,new_reported_area_delta,old_level_delta,new_reported_level_delta
v0,c5315,c5315_trojan60,PASS,PASS,PASS_STABLE,70846.200,22481.400,3.151325,4,-1,0,-8
v0,c5315,c5315_trojan61,PASS,PASS,PASS_STABLE,29537.900,8827.750,3.346028,4,-1,1,-5
v0,c5315,c5315_trojan62,PASS,PASS,PASS_STABLE,38895.600,12043.900,3.229485,5,-1,0,0
v0,c5315,c5315_trojan63,PASS,PASS,PASS_STABLE,23769.900,6454.240,3.682835,4,-1,0,-10
v0,c5315,c5315_trojan64,PASS,PASS,PASS_STABLE,63203.900,18393.500,3.436208,4,-1,0,-8
v0,c5315,c5315_trojan65,PASS,PASS,PASS_STABLE,18040.400,5247.230,3.438081,2,-1,0,0
v0,c5315,c5315_trojan66,FAIL,PASS,GAIN,211341.000,163800.000,,,-1,,-5
v0,c5315,c5315_trojan67,PASS,PASS,PASS_STABLE,1988.640,926.619,2.146125,4,-1,0,0
v0,c5315,c5315_trojan68,CEC_FAIL,PASS,GAIN,147836.000,119137.000,,4880,-1,28,0
v0,c5315,c5315_trojan69,PASS,PASS,PASS_STABLE,25443.500,9390.000,2.709638,4,-1,1,-9
v0,c5315,c5315_trojan7,CEC_FAIL,PASS,GAIN,28618.100,7121.250,,10,-1,1,-10
v0,c5315,c5315_trojan70,CEC_FAIL,PASS,GAIN,387789.000,277489.000,,1206,-1,15,-9
v0,c5315,c5315_trojan71,FAIL,TIMEOUT,FAIL_STABLE,374189.000,,,,,,
v0,c5315,c5315_trojan72,PASS,PASS,PASS_STABLE,27992.100,10049.100,2.785533,4,-1,0,-3
v0,c5315,c5315_trojan73,FAIL,PASS,GAIN,335519.000,274018.000,,,-1,,-6
v0,c5315,c5315_trojan74,PASS,PASS,PASS_STABLE,76395.100,282705.000,0.270229,7,-1,0,-3
v0,c5315,c5315_trojan75,PASS,PASS,PASS_STABLE,23941.400,7763.140,3.083984,4,-1,0,0
v0,c5315,c5315_trojan76,PASS,PASS,PASS_STABLE,1493.400,648.749,2.301969,4,-1,0,0
v0,c5315,c5315_trojan77,PASS,PASS,PASS_STABLE,50950.900,13524.400,3.767332,4,-1,0,-9
v0,c5315,c5315_trojan78,CEC_FAIL,CEC_FAIL,FAIL_STABLE,37688.600,86206.700,,4,14,0,8
v0,c5315,c5315_trojan79,PASS,PASS,PASS_STABLE,35568.200,10907.300,3.260954,7,-1,0,-6
v0,c5315,c5315_trojan8,PASS,PASS,PASS_STABLE,35037.400,13049.500,2.684961,4,-1,0,0
v0,c5315,c5315_trojan80,PASS,PASS,PASS_STABLE,35905.400,8589.210,4.180291,2,-1,0,0
v0,c5315,c5315_trojan81,CEC_FAIL,TIMEOUT,FAIL_STABLE,420802.000,,,1231,,32,
v0,c5315,c5315_trojan82,PASS,PASS,PASS_STABLE,19257.900,4998.310,3.852882,4,-1,3,-5
v0,c5315,c5315_trojan83,PASS,PASS,PASS_STABLE,1540.380,697.564,2.208227,4,-1,1,-10
v0,c5315,c5315_trojan84,PASS,PASS,PASS_STABLE,1603.230,646.385,2.480302,7,-1,0,0
v0,c5315,c5315_trojan85,PASS,PASS,PASS_STABLE,30785.000,8976.650,3.429453,4,-1,1,-3
v0,c5315,c5315_trojan86,PASS,PASS,PASS_STABLE,14232.900,3537.470,4.023469,6,-1,0,-7
v0,c5315,c5315_trojan87,FAIL,PASS,GAIN,252782.000,185923.000,,,-1,,-2
v0,c5315,c5315_trojan88,FAIL,TIMEOUT,FAIL_STABLE,409658.000,,,,,,
v0,c5315,c5315_trojan89,FAIL,PASS,GAIN,24200.100,10450.200,,,-1,,0
v0,c5315,c5315_trojan9,PASS,PASS,PASS_STABLE,1062.020,474.074,2.240199,-1,-1,-8,-8
v0,c5315,c5315_trojan90,CEC_FAIL,PASS,GAIN,152891.000,139534.000,,479,-1,18,-9
v0,c5315,c5315_trojan91,PASS,PASS,PASS_STABLE,27575.700,10668.700,2.584729,6,-1,1,-1
v0,c5315,c5315_trojan92,PASS,PASS,PASS_STABLE,1342.800,664.106,2.021966,2,-1,0,0
v0,c5315,c5315_trojan93,FAIL,PASS,GAIN,288789.000,251401.000,,,-1,,-11
v0,c5315,c5315_trojan94,PASS,PASS,PASS_STABLE,29181.200,9395.660,3.105817,5,-1,0,-6
v0,c5315,c5315_trojan95,PASS,PASS,PASS_STABLE,2526.310,790.983,3.193887,6,-1,1,0
v0,c5315,c5315_trojan96,PASS,PASS,PASS_STABLE,14691.900,3455.930,4.251215,4,-1,1,0
v0,c5315,c5315_trojan97,PASS,PASS,PASS_STABLE,25225.100,6903.210,3.654112,4,-1,0,-6
v0,c5315,c5315_trojan98,CEC_FAIL,TIMEOUT,FAIL_STABLE,302613.000,,,1395,,34,
v0,c5315,c5315_trojan99,CEC_FAIL,PASS,GAIN,4148.640,23276.400,,192,-1,7,-8
v0,c6288,c6288_trojan0,CEC_FAIL,PASS,GAIN,21476.600,5115.860,,2,-1,1,-40
v0,c7552,c7552_trojan0,PASS,PASS,PASS_STABLE,27849.300,7256.570,3.837805,6,-1,0,0
v0,c7552,c7552_trojan1,PASS,PASS,PASS_STABLE,21309.200,4850.720,4.392997,4,-1,0,0
v0,c7552,c7552_trojan11,PASS,PASS,PASS_STABLE,7582.110,2064.930,3.671848,4,-1,0,0
v0,c7552,c7552_trojan12,PASS,PASS,PASS_STABLE,33602.200,8534.780,3.937090,4,-1,0,0
v0,c7552,c7552_trojan13,CEC_FAIL,PASS,GAIN,4165.850,1209.150,,2,-1,0,0
v0,c7552,c7552_trojan15,PASS,PASS,PASS_STABLE,784.384,565.023,1.388234,-1,-1,0,0
v0,c7552,c7552_trojan16,CEC_FAIL,PASS,GAIN,3176.980,1132.900,,2,-1,0,0
v0,c7552,c7552_trojan17,CEC_FAIL,PASS,GAIN,6825.680,1847.060,,3,-1,0,0
v0,c7552,c7552_trojan18,CEC_FAIL,PASS,GAIN,812.891,1768.960,,-1,-1,0,0
v0,c7552,c7552_trojan19,PASS,PASS,PASS_STABLE,38871.000,11863.200,3.276603,4,-1,0,0
v0,c7552,c7552_trojan2,CEC_FAIL,PASS,GAIN,1991.410,698.089,,2,-1,0,0
v0,c7552,c7552_trojan20,CEC_FAIL,PASS,GAIN,922.745,1336.960,,-1,-1,0,0
v0,c7552,c7552_trojan21,PASS,PASS,PASS_STABLE,34292.200,8356.480,4.103666,6,-1,0,0
v0,c7552,c7552_trojan22,PASS,PASS,PASS_STABLE,8515.600,2417.550,3.522409,6,-1,0,0
v0,c7552,c7552_trojan23,CEC_FAIL,PASS,GAIN,19559.700,5066.230,,3,-1,0,0
v0,c7552,c7552_trojan25,PASS,PASS,PASS_STABLE,20352.500,5376.340,3.785568,5,-1,0,0
v0,c7552,c7552_trojan26,PASS,PASS,PASS_STABLE,1531.140,550.269,2.782530,-1,-1,0,0
v0,c7552,c7552_trojan27,PASS,PASS,PASS_STABLE,2600.230,822.012,3.163251,2,-1,0,0
v0,c7552,c7552_trojan28,PASS,PASS,PASS_STABLE,17822.500,3807.270,4.681176,6,-1,0,0
v0,c7552,c7552_trojan29,PASS,PASS,PASS_STABLE,27171.900,7899.130,3.439860,4,-1,0,0
v0,c7552,c7552_trojan3,PASS,PASS,PASS_STABLE,39776.300,11280.300,3.526174,4,-1,0,0
v0,c7552,c7552_trojan30,PASS,PASS,PASS_STABLE,21231.100,5244.340,4.048384,5,-1,0,0
v0,c7552,c7552_trojan31,CEC_FAIL,PASS,GAIN,12396.000,3032.370,,5,-1,0,0
v0,c7552,c7552_trojan32,PASS,PASS,PASS_STABLE,820.903,546.916,1.500967,-1,-1,0,0
v0,c7552,c7552_trojan33,PASS,PASS,PASS_STABLE,23276.500,6175.720,3.769034,4,-1,0,0
v0,c7552,c7552_trojan34,PASS,PASS,PASS_STABLE,30201.100,7795.770,3.874037,4,-1,0,0
v0,c7552,c7552_trojan35,PASS,PASS,PASS_STABLE,38963.000,9034.790,4.312552,2,-1,0,0
v0,c7552,c7552_trojan36,CEC_FAIL,PASS,GAIN,2321.230,728.937,,2,-1,0,0
v0,c7552,c7552_trojan37,PASS,PASS,PASS_STABLE,29796.600,7857.190,3.792272,5,-1,0,0
v0,c7552,c7552_trojan38,PASS,PASS,PASS_STABLE,23170.700,5728.130,4.045072,6,-1,0,0
v0,c7552,c7552_trojan39,CEC_FAIL,PASS,GAIN,1754.270,644.242,,2,-1,0,0
v0,c7552,c7552_trojan4,PASS,PASS,PASS_STABLE,34824.600,9329.000,3.732940,4,-1,0,0
v0,c7552,c7552_trojan40,PASS,PASS,PASS_STABLE,38123.300,9924.100,3.841487,6,-1,0,0
v0,c7552,c7552_trojan41,PASS,PASS,PASS_STABLE,27566.500,7019.140,3.927333,4,-1,0,0
v0,c7552,c7552_trojan42,CEC_FAIL,PASS,GAIN,1039.870,1148.230,,1,-1,0,0
v0,c7552,c7552_trojan43,FAIL,PASS,GAIN,39068.200,10344.000,,,-1,,0
v0,c7552,c7552_trojan45,PASS,PASS,PASS_STABLE,24520.100,6126.180,4.002511,7,-1,0,0
v0,c7552,c7552_trojan46,PASS,PASS,PASS_STABLE,33234.200,8898.610,3.734763,4,-1,0,0
v0,c7552,c7552_trojan49,CEC_FAIL,PASS,GAIN,954.074,1121.890,,3,-1,0,0
v0,c7552,c7552_trojan50,PASS,PASS,PASS_STABLE,22235.800,5086.450,4.371575,4,-1,0,0
v0,c7552,c7552_trojan51,PASS,PASS,PASS_STABLE,13387.800,3967.800,3.374112,2,-1,1,-2
v0,c7552,c7552_trojan52,PASS,PASS,PASS_STABLE,23880.400,6894.480,3.463698,6,-1,0,-1
v0,c7552,c7552_trojan53,CEC_FAIL,PASS,GAIN,1887.530,1286.140,,3,-1,0,0
v0,c7552,c7552_trojan54,PASS,PASS,PASS_STABLE,32061.100,8831.290,3.630398,2,-1,0,0
v0,c7552,c7552_trojan57,CEC_FAIL,PASS,GAIN,15293.500,3741.340,,2,-1,0,0
v0,c7552,c7552_trojan58,CEC_FAIL,PASS,GAIN,17368.300,4626.080,,4,-1,0,0
v0,c7552,c7552_trojan59,PASS,PASS,PASS_STABLE,18691.700,4725.120,3.955815,2,-1,0,0
v0,c7552,c7552_trojan6,CEC_FAIL,PASS,GAIN,825.374,852.784,,-1,-1,0,0
v0,c7552,c7552_trojan61,PASS,PASS,PASS_STABLE,4818.710,1550.880,3.107081,2,-1,6,0
v0,c7552,c7552_trojan62,CEC_FAIL,PASS,GAIN,26666.400,8133.480,,2,-1,1,-11
v0,c7552,c7552_trojan63,CEC_FAIL,PASS,GAIN,2910.650,1007.370,,3,-1,0,0
v0,c7552,c7552_trojan65,PASS,PASS,PASS_STABLE,742.862,607.290,1.223241,-1,-1,0,0
v0,c7552,c7552_trojan66,PASS,PASS,PASS_STABLE,3588.570,1490.330,2.407903,4,-1,0,0
v0,c7552,c7552_trojan67,CEC_FAIL,PASS,GAIN,4884.750,1617.520,,2,-1,0,0
v0,c7552,c7552_trojan68,CEC_FAIL,PASS,GAIN,729.873,1354.010,,-1,-1,0,0
v0,c7552,c7552_trojan69,PASS,PASS,PASS_STABLE,26306.400,9117.300,2.885328,2,-1,0,0
v0,c7552,c7552_trojan7,PASS,PASS,PASS_STABLE,19368.600,5093.930,3.802290,2,-1,0,0
v0,c7552,c7552_trojan70,CEC_FAIL,CEC_FAIL,FAIL_STABLE,789.986,1995.190,,2,1,0,0
v0,c7552,c7552_trojan71,PASS,PASS,PASS_STABLE,27020.400,7373.520,3.664518,4,-1,0,0
v0,c7552,c7552_trojan72,PASS,PASS,PASS_STABLE,7250.100,2069.510,3.503293,3,-1,1,-2
v0,c7552,c7552_trojan73,CEC_FAIL,CEC_FAIL,FAIL_STABLE,18228.200,27428.400,,2,5,0,0
v0,c7552,c7552_trojan75,CEC_FAIL,PASS,GAIN,13614.600,3645.020,,2,-1,0,0
v0,c7552,c7552_trojan76,FAIL,PASS,GAIN,23869.900,7260.380,,,-1,,0
v0,c7552,c7552_trojan77,PASS,PASS,PASS_STABLE,1282.110,901.051,1.422905,-1,-1,0,0
v0,c7552,c7552_trojan78,PASS,PASS,PASS_STABLE,9975.460,2651.120,3.762734,3,-1,0,0
v0,c7552,c7552_trojan79,PASS,PASS,PASS_STABLE,20449.900,5645.090,3.622599,2,-1,0,0
v0,c7552,c7552_trojan8,PASS,PASS,PASS_STABLE,21307.000,7611.660,2.799258,2,-1,0,0
v0,c7552,c7552_trojan80,PASS,PASS,PASS_STABLE,17432.800,4818.310,3.618032,4,-1,0,0
v0,c7552,c7552_trojan81,CEC_FAIL,PASS,GAIN,6435.140,1962.120,,4,-1,0,0
v0,c7552,c7552_trojan82,CEC_FAIL,PASS,GAIN,1558.230,1198.380,,3,-1,0,0
v0,c7552,c7552_trojan83,CEC_FAIL,PASS,GAIN,17909.200,4754.800,,2,-1,0,0
v0,c7552,c7552_trojan84,PASS,PASS,PASS_STABLE,24845.500,7280.630,3.412548,2,-1,0,0
v0,c7552,c7552_trojan85,PASS,PASS,PASS_STABLE,29890.900,8410.810,3.553867,2,-1,0,0
v0,c7552,c7552_trojan86,PASS,PASS,PASS_STABLE,2009.150,721.050,2.786423,3,-1,0,0
v0,c7552,c7552_trojan87,PASS,PASS,PASS_STABLE,24950.100,6577.280,3.793377,4,-1,0,0
v0,c7552,c7552_trojan88,PASS,PASS,PASS_STABLE,15257.200,4034.120,3.782039,4,-1,0,0
v0,c7552,c7552_trojan89,CEC_FAIL,PASS,GAIN,899.609,1095.940,,1,-1,0,0
v0,c7552,c7552_trojan9,PASS,PASS,PASS_STABLE,25861.500,6699.380,3.860283,4,-1,0,0
v0,c7552,c7552_trojan90,PASS,PASS,PASS_STABLE,30774.700,8660.050,3.553640,3,-1,0,0
