circuit,trojan,success,gt_verify,vn_rounds,cec_rounds,runtime_ms,area_delta,level_delta,rule_method,dt_builds,optimizer_calls,optimizer_solver_ms,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan
c2670,c2670_trojan96,PASS,PASS,0,0,1167.36,-1,-7,z3-pb,1,1,5.9187,1,1,1,-1,-7
c2670,c2670_trojan97,PASS,PASS,0,0,589.055,-1,-7,z3-pb,1,1,6.3317,1,1,1,-1,-7
c2670,c2670_trojan98,PASS,PASS,0,0,867.512,-1,0,z3-pb,1,1,7.4752,1,1,1,-1,0
c2670,c2670_trojan99,PASS,PASS,0,0,730.854,-1,-2,z3-pb,1,1,6.7786,1,1,1,-1,-2
c3540,c3540_trojan0,PASS,PASS,0,0,5314.32,-1,0,z3-pb,1,1,12.0478,1,1,1,-1,0
c3540,c3540_trojan1,PASS,PASS,0,0,2670.3,-1,0,z3-pb,1,1,6.4738,1,1,1,-1,0
c3540,c3540_trojan10,PASS,PASS,0,0,2906.69,-1,0,z3-pb,1,1,14.2667,1,1,1,-1,0
c3540,c3540_trojan11,PASS,PASS,0,0,5804.98,-1,0,z3-pb,1,1,7.0474,1,1,1,-1,0
c3540,c3540_trojan12,PASS,PASS,0,0,1074.49,-1,0,z3-pb,1,1,11.3109,1,1,1,-1,0
c3540,c3540_trojan13,PASS,PASS,0,0,898.147,-1,0,z3-pb,1,1,10.6917,1,1,1,-1,0
c3540,c3540_trojan14,PASS,PASS,0,0,1910.11,-1,0,z3-pb,1,1,7.0154,1,1,1,-1,0
c3540,c3540_trojan15,PASS,PASS,0,0,1844.2,-1,0,z3-pb,1,1,6.0004,1,1,1,-1,0
c3540,c3540_trojan16,PASS,PASS,0,0,749.66,-1,-6,z3-pb,1,1,8.5085,1,1,1,-1,-6
c3540,c3540_trojan17,PASS,PASS,0,0,4998.36,-1,0,z3-pb,1,1,16.6316,1,1,1,-1,0
c3540,c3540_trojan18,PASS,PASS,0,0,4147.7,-1,0,z3-pb,1,1,6.4388,1,1,1,-1,0
c3540,c3540_trojan19,PASS,PASS,0,0,710.95,-1,0,z3-pb,1,1,6.4634,1,1,1,-1,0
c3540,c3540_trojan2,PASS,PASS,0,0,7618.0,-1,0,z3-pb,1,1,6.8989,1,1,1,-1,0
c3540,c3540_trojan20,PASS,PASS,0,0,2218.84,-1,0,z3-pb,1,1,6.6556,1,1,1,-1,0
c3540,c3540_trojan21,PASS,PASS,0,0,3590.38,-1,0,z3-pb,1,1,7.0703,1,1,1,-1,0
c3540,c3540_trojan22,PASS,PASS,0,0,8435.32,-1,-4,z3-pb,1,1,9.3792,1,1,1,-1,-4
c3540,c3540_trojan23,PASS,PASS,0,0,3537.44,-1,0,z3-pb,1,1,6.2123,1,1,1,-1,0
c3540,c3540_trojan24,PASS,PASS,0,0,3575.6,-1,0,z3-pb,1,1,6.0302,1,1,1,-1,0
c3540,c3540_trojan25,PASS,PASS,0,0,505.76,-1,-4,z3-pb,1,1,6.8767,1,1,1,-1,-4
c3540,c3540_trojan26,PASS,PASS,0,0,748.309,-1,0,z3-pb,1,1,9.0185,1,1,1,-1,0
c3540,c3540_trojan27,PASS,PASS,0,0,1209.54,-1,0,z3-pb,1,1,5.8053,1,1,1,-1,0
c3540,c3540_trojan28,PASS,PASS,0,0,2094.18,-1,0,z3-pb,1,1,11.5289,1,1,1,-1,0
c3540,c3540_trojan29,PASS,PASS,0,0,640.05,-1,0,z3-pb,1,1,6.0795,1,1,1,-1,0
c3540,c3540_trojan3,PASS,PASS,0,0,2021.96,-1,-6,z3-pb,1,1,7.0739,1,1,1,-1,-6
c3540,c3540_trojan30,PASS,PASS,0,0,1743.96,-1,0,z3-pb,1,1,7.1223,1,1,1,-1,0
c3540,c3540_trojan31,PASS,PASS,0,0,2893.01,-1,0,z3-pb,1,1,12.6526,1,1,1,-1,0
c3540,c3540_trojan32,PASS,PASS,0,0,1813.49,-1,0,z3-pb,1,1,7.1343,1,1,1,-1,0
c3540,c3540_trojan33,PASS,PASS,0,0,867.308,-1,0,z3-pb,1,1,8.8077,1,1,1,-1,0
c3540,c3540_trojan34,PASS,PASS,0,0,571.236,-1,0,z3-pb,1,1,6.4184,1,1,1,-1,0
c3540,c3540_trojan35,PASS,PASS,0,0,4708.76,-1,0,z3-pb,1,1,12.4755,1,1,1,-1,0
c3540,c3540_trojan36,PASS,PASS,0,0,6741.45,-1,0,z3-pb,1,1,7.2411,1,1,1,-1,0
