circuit,trojan,a_status,b_status,c_status,a_runtime_ms,b_runtime_ms,c_runtime_ms,b_over_c_runtime,a_cec_rounds,b_cec_rounds,c_cec_rounds,a_dt_builds,b_dt_builds,c_dt_builds,b_effective_rules,b_effective_literals,b_effective_depth,c_effective_rules,c_effective_literals,c_effective_depth,formal_miter_status,formal_miter_added,formal_miter_fn,formal_miter_fp,formal_miter_retries,formal_miter_proved,formal_miter_total_ms
c2670,c2670_trojan6,PASS,PASS,PASS,536.196,463.5,531.05,0.8727991714527823,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,35.3585
c2670,c2670_trojan60,PASS,PASS,PASS,941.192,848.753,1082.64,0.7839660459617231,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,90.6878
c2670,c2670_trojan61,PASS,PASS,PASS,499.262,512.173,681.646,0.7513768143581859,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,119.1845
c2670,c2670_trojan62,PASS,PASS,PASS,704.751,589.131,1267.31,0.4648673173887999,1,1,0,2,2,3,1,1,1,1,1,1,proved,10,0,10,2,1,332.30510000000004
c2670,c2670_trojan63,PASS,PASS,PASS,384.395,380.592,914.732,0.41606940612113713,0,0,0,1,1,2,1,1,1,1,1,1,proved,5,0,5,1,1,212.7602
c2670,c2670_trojan64,PASS,PASS,PASS,780.08,677.122,916.221,0.7390378522212435,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,89.4142
c2670,c2670_trojan65,PASS,PASS,PASS,798.433,705.26,993.323,0.710000674503661,1,1,0,2,2,2,1,1,1,1,1,1,proved,5,0,5,1,1,202.91160000000002
c2670,c2670_trojan66,PASS,PASS,PASS,655.81,620.13,1350.58,0.45915828755053384,1,1,0,2,2,3,1,1,1,1,1,1,proved,10,0,10,2,1,339.03610000000003
c2670,c2670_trojan67,PASS,PASS,PASS,558.537,408.535,614.377,0.6649581608686524,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,108.0173
c2670,c2670_trojan68,PASS,PASS,PASS,405.6,454.391,568.987,0.7985964529945325,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,77.6643
c2670,c2670_trojan69,PASS,PASS,PASS,523.713,458.563,642.461,0.7137600570306991,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,91.3655
c2670,c2670_trojan7,PASS,PASS,PASS,530.244,504.896,567.773,0.8892567980513338,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.3232
c2670,c2670_trojan70,PASS,PASS,PASS,380.596,386.12,573.454,0.673323405190303,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,89.6549
c2670,c2670_trojan71,PASS,PASS,PASS,895.187,814.721,938.255,0.868336433059243,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,95.1006
c2670,c2670_trojan72,PASS,PASS,PASS,383.598,403.671,460.428,0.8767299121686778,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,70.7211
c2670,c2670_trojan73,PASS,PASS,PASS,569.923,546.099,622.656,0.8770476796176382,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,85.541
c2670,c2670_trojan74,PASS,PASS,PASS,654.132,1114.63,730.286,1.5262924388527237,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,88.6759
c2670,c2670_trojan75,PASS,PASS,PASS,2646.35,2586.38,4251.66,0.6083223964286891,0,0,0,1,1,2,1,1,1,1,1,1,proved,5,0,5,1,1,192.043
c2670,c2670_trojan76,PASS,PASS,PASS,413.319,515.327,532.551,0.9676575576799217,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,87.826
c2670,c2670_trojan77,PASS,PASS,PASS,451.455,506.075,549.125,0.921602549510585,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,91.319
c2670,c2670_trojan78,PASS,PASS,PASS,1553.95,1833.57,3255.23,0.5632689548818363,0,0,0,1,1,2,1,1,1,1,1,1,proved,5,0,5,1,1,221.3751
c2670,c2670_trojan79,PASS,PASS,PASS,925.73,857.996,943.293,0.9095752857277644,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,94.1315
c2670,c2670_trojan8,PASS,PASS,PASS,558.679,546.061,638.485,0.8552448373885057,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,33.5433
c2670,c2670_trojan80,PASS,PASS,PASS,909.3,872.354,1045.96,0.8340223335500402,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,110.3874
c2670,c2670_trojan81,PASS,PASS,PASS,1662.27,1647.69,1771.66,0.9300260772382962,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,87.9863
c2670,c2670_trojan82,PASS,PASS,PASS,407.472,376.307,528.627,0.7118573209465276,0,0,0,1,1,1,1,1,1,1,1,1,proved,0,0,0,0,1,94.4732
