case_id,circuit,trojan,z3_status,dac_status,transition,both_pass,z3_runtime_ms,dac_runtime_ms,z3_wall_ms,dac_wall_ms,golden_aig_nodes,golden_aig_levels,trojan_aig_nodes,trojan_aig_levels,z3_aig_nodes,z3_aig_levels,dac_aig_nodes,dac_aig_levels,z3_delta_nodes_vs_trojan,dac_delta_nodes_vs_trojan,z3_delta_levels_vs_trojan,dac_delta_levels_vs_trojan,z3_minus_dac_nodes,z3_minus_dac_levels,node_winner,level_winner,dac_target_count,dac_patch_inputs,dac_runeco_added_gates,z3_effective_rules,z3_effective_literals,z3_effective_depth,z3_cec_replay,dac_cec_replay
c2670_trojan60,c2670,c2670_trojan60,PASS,PASS,both_pass,1,1082.64,5602.83,1242.995397071354,5699.338336009532,717,21,597,19,583,17,583,17,-14,-14,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan61,c2670,c2670_trojan61,PASS,PASS,both_pass,1,681.646,5339.6,800.0759119167924,5451.48295594845,717,21,597,19,582,17,582,17,-15,-15,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan62,c2670,c2670_trojan62,PASS,PASS,both_pass,1,1267.31,4637.48,1402.8832209296525,4765.499152941629,717,21,600,24,584,19,584,19,-16,-16,-5,-5,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan63,c2670,c2670_trojan63,PASS,PASS,both_pass,1,914.732,3404.43,1057.0410479558632,3498.6876429757103,717,21,599,22,583,19,583,19,-16,-16,-3,-3,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan64,c2670,c2670_trojan64,PASS,PASS,both_pass,1,916.221,3257.1,1048.500019009225,3345.0213079340756,717,21,599,23,583,19,583,19,-16,-16,-4,-4,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan65,c2670,c2670_trojan65,PASS,PASS,both_pass,1,993.323,6120.52,1151.418872992508,6200.75939304661,717,21,594,23,582,19,582,19,-12,-12,-4,-4,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan66,c2670,c2670_trojan66,PASS,PASS,both_pass,1,1350.58,4095.88,1503.6281819920987,4197.46704492718,717,21,600,24,584,19,584,19,-16,-16,-5,-5,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan67,c2670,c2670_trojan67,PASS,PASS,both_pass,1,614.377,4933.78,750.0813349615782,5055.967819062062,717,21,599,19,583,18,583,18,-16,-16,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan68,c2670,c2670_trojan68,PASS,PASS,both_pass,1,568.987,3426.36,696.7930579558015,3548.009858932346,717,21,593,20,581,18,581,18,-12,-12,-2,-2,0,0,tie,tie,1,0,1,1,1,1,1,1
c2670_trojan69,c2670,c2670_trojan69,PASS,PASS,both_pass,1,642.461,3642.27,796.4568510651588,3729.03646400664,717,21,602,18,585,17,585,17,-17,-17,-1,-1,0,0,tie,tie,1,0,1,1,1,1,1,1
