circuit,trojan,success,gt_verify,vn_rounds,runtime_ms,area_delta,level_delta
c7552,c7552_trojan20,CEC_FAIL,PASS,0,922.745,-1,0
c7552,c7552_trojan21,PASS,PASS,1,34292.2,6,0
c7552,c7552_trojan22,PASS,PASS,1,8515.6,6,0
c7552,c7552_trojan23,CEC_FAIL,PASS,1,19559.7,3,0
c7552,c7552_trojan24,ERROR_1,FAIL,0,,,
c7552,c7552_trojan25,PASS,PASS,1,20352.5,5,0
c7552,c7552_trojan26,PASS,PASS,1,1531.14,-1,0
c7552,c7552_trojan27,PASS,PASS,1,2600.23,2,0
c7552,c7552_trojan28,PASS,PASS,1,17822.5,6,0
c7552,c7552_trojan29,PASS,PASS,1,27171.9,4,0
c7552,c7552_trojan2,CEC_FAIL,PASS,1,1991.41,2,0
c7552,c7552_trojan30,PASS,PASS,1,21231.1,5,0
c7552,c7552_trojan31,CEC_FAIL,PASS,1,12396,5,0
c7552,c7552_trojan32,PASS,PASS,0,820.903,-1,0
c7552,c7552_trojan33,PASS,PASS,1,23276.5,4,0
c7552,c7552_trojan34,PASS,PASS,1,30201.1,4,0
c7552,c7552_trojan35,PASS,PASS,1,38963,2,0
c7552,c7552_trojan36,CEC_FAIL,PASS,1,2321.23,2,0
c7552,c7552_trojan37,PASS,PASS,1,29796.6,5,0
c7552,c7552_trojan38,PASS,PASS,1,23170.7,6,0
c7552,c7552_trojan39,CEC_FAIL,PASS,1,1754.27,2,0
c7552,c7552_trojan3,PASS,PASS,1,39776.3,4,0
c7552,c7552_trojan40,PASS,PASS,1,38123.3,6,0
c7552,c7552_trojan41,PASS,PASS,1,27566.5,4,0
c7552,c7552_trojan42,CEC_FAIL,PASS,0,1039.87,1,0
c7552,c7552_trojan43,FAIL,FAIL,1,39068.2,,
c7552,c7552_trojan44,ERROR_1,FAIL,0,,,
c7552,c7552_trojan45,PASS,PASS,1,24520.1,7,0
c7552,c7552_trojan46,PASS,PASS,1,33234.2,4,0
c7552,c7552_trojan47,ERROR_1,FAIL,0,,,
c7552,c7552_trojan48,ERROR_1,FAIL,0,,,
c7552,c7552_trojan49,CEC_FAIL,PASS,0,954.074,3,0
c7552,c7552_trojan4,PASS,PASS,1,34824.6,4,0
c7552,c7552_trojan50,PASS,PASS,1,22235.8,4,0
c7552,c7552_trojan51,PASS,PASS,1,13387.8,2,1
c7552,c7552_trojan52,PASS,PASS,1,23880.4,6,0
c7552,c7552_trojan53,CEC_FAIL,PASS,1,1887.53,3,0
c7552,c7552_trojan54,PASS,PASS,1,32061.1,2,0
c7552,c7552_trojan55,ERROR_1,FAIL,0,,,
c7552,c7552_trojan56,ERROR_1,FAIL,0,,,
c7552,c7552_trojan57,CEC_FAIL,PASS,1,15293.5,2,0
c7552,c7552_trojan58,CEC_FAIL,PASS,1,17368.3,4,0
c7552,c7552_trojan59,PASS,PASS,1,18691.7,2,0
c7552,c7552_trojan5,ERROR_1,FAIL,0,,,
c7552,c7552_trojan60,ERROR_1,FAIL,0,,,
c7552,c7552_trojan61,PASS,PASS,1,4818.71,2,6
c7552,c7552_trojan62,CEC_FAIL,PASS,1,26666.4,2,1
c7552,c7552_trojan63,CEC_FAIL,PASS,1,2910.65,3,0
c7552,c7552_trojan64,ERROR_1,FAIL,0,,,
c7552,c7552_trojan65,PASS,PASS,0,742.862,-1,0
c7552,c7552_trojan66,PASS,PASS,1,3588.57,4,0
